operation_id,operation_date,region,country,shipment_mode,operation_type,weather_condition,shift,vendor_tier,distance_km,load_factor,load_band,delay_hours,delay_band,operator_experience_years,experience_band,maintenance_score,cost_usd,failure_probability,failed,severity,loss_usd
1,2024-01-01,North America,USA,Truck,High Value Cargo,Storm,Evening,Tier 1,516.8,0.767,High,27.5,24-48h,7.2,5-10y,83.4,2176.56,0.028,0,None,0.0
2,2024-01-01,North America,USA,Truck,High Value Cargo,Rain,Morning,Tier 1,1098.7,0.618,Moderate,20.3,12-24h,3.6,2-5y,87.1,2595.28,0.0126,0,None,0.0
3,2024-01-01,Latin America,Brazil,Rail,Standard Shipment,Clear,Morning,Tier 1,827.4,0.828,High,25.4,24-48h,0.6,0-2y,88.7,2195.97,0.0101,0,None,0.0
4,2024-01-01,Africa,South Africa,Truck,Standard Shipment,Clear,Evening,Tier 1,3776.0,0.623,Moderate,25.6,24-48h,2.5,2-5y,78.4,5991.53,0.0122,0,None,0.0
5,2024-01-01,North America,Mexico,Truck,Standard Shipment,Clear,Evening,Tier 3,2346.9,0.635,Moderate,19.1,12-24h,8.6,5-10y,93.8,4113.44,0.0108,0,None,0.0
6,2024-01-01,North America,Mexico,Ocean,Emergency Replenishment,Extreme Heat,Morning,Tier 2,1454.3,0.605,Moderate,39.6,24-48h,2.9,2-5y,77.9,3133.36,0.0784,0,None,0.0
7,2024-01-01,Africa,South Africa,Truck,Standard Shipment,Rain,Morning,Tier 1,2165.2,0.846,High,27.7,24-48h,5.0,2-5y,78.7,3927.46,0.0157,0,None,0.0
8,2024-01-01,Africa,Nigeria,Truck,High Value Cargo,Rain,Night,Tier 1,1427.2,0.795,High,22.9,12-24h,7.4,5-10y,84.9,4271.25,0.0163,0,None,0.0
9,2024-01-01,Latin America,Colombia,Truck,Standard Shipment,Clear,Evening,Tier 1,1518.9,0.522,Low,21.5,12-24h,1.6,0-2y,68.3,2689.46,0.0152,0,None,0.0
10,2024-01-01,Asia,China,Truck,Cold Chain,Rain,Morning,Tier 3,891.9,0.958,Critical,21.9,12-24h,4.0,2-5y,81.5,3135.87,0.0624,0,None,0.0
11,2024-01-01,Africa,Nigeria,Ocean,Standard Shipment,Clear,Evening,Tier 1,311.2,0.594,Low,20.2,12-24h,3.0,2-5y,83.7,1703.56,0.0118,0,None,0.0
12,2024-01-01,Latin America,Brazil,Air,Emergency Replenishment,Rain,Morning,Tier 1,1139.9,0.651,Moderate,19.2,12-24h,10.6,10y+,96.0,18264.14,0.0094,0,None,0.0
13,2024-01-01,North America,Mexico,Truck,Cold Chain,Clear,Morning,Tier 1,652.9,0.65,Moderate,12.9,12-24h,2.3,2-5y,79.4,2822.22,0.0137,0,None,0.0
14,2024-01-01,Latin America,Colombia,Truck,Standard Shipment,Clear,Morning,Tier 3,321.3,0.771,High,17.8,12-24h,5.7,5-10y,56.8,1769.69,0.0273,0,None,0.0
15,2024-01-01,Latin America,Colombia,Ocean,Standard Shipment,Storm,Evening,Tier 1,996.9,0.77,High,45.1,24-48h,1.3,0-2y,72.1,1870.95,0.0665,0,None,0.0
16,2024-01-01,Latin America,Colombia,Truck,High Value Cargo,Rain,Evening,Tier 1,457.6,0.835,High,28.7,24-48h,4.3,2-5y,89.3,2114.24,0.0178,0,None,0.0
17,2024-01-01,Asia,China,Truck,High Value Cargo,Cold,Morning,Tier 2,963.3,0.634,Moderate,17.9,12-24h,3.3,2-5y,89.8,2795.72,0.0162,0,None,0.0
18,2024-01-01,Latin America,Brazil,Truck,Standard Shipment,Clear,Morning,Tier 1,1289.6,0.876,High,16.6,12-24h,1.4,0-2y,82.5,2905.34,0.0119,0,None,0.0
